── Session info ────────────────────────────────────────────────────────────────
 setting   value
 gha_image 20250602.1.0
 version   R version 4.4.3 (2025-02-28 ucrt)
 os        Windows Server 2022 x64 (build 20348)
 system    x86_64, mingw32
 ui        RTerm
 language  (EN)
 collate   English_United States.utf8
 ctype     English_United States.utf8
 tz        UTC
 date      2025-06-16
 pandoc    3.1.11 @ C:\\HOSTED~1\\windows\\pandoc\\31F387~1.11\\x64\\PANDOC~1.11\\pandoc.exe
 quarto    NA
── Packages ────────────────────────────────────────────────────────────────────
 package           * version     date (UTC) lib source
 AsioHeaders         1.30.2-1    2025-04-15 [1] CRAN (R 4.4.3)
 askpass             1.2.1       2024-10-04 [1] CRAN (R 4.4.3)
 assertthat          0.2.1       2019-03-21 [1] CRAN (R 4.4.3)
 backports           1.5.0       2024-05-23 [1] CRAN (R 4.4.0)
 base64enc           0.1-3       2015-07-28 [1] CRAN (R 4.4.0)
 bigD                0.3.1       2025-04-03 [1] CRAN (R 4.4.3)
 bit                 4.6.0       2025-03-06 [1] CRAN (R 4.4.3)
 bit64               4.6.0-1     2025-01-16 [1] CRAN (R 4.4.3)
 bitops              1.0-9       2024-10-03 [1] CRAN (R 4.4.1)
 blob                1.2.4       2023-03-17 [1] CRAN (R 4.4.3)
 boot                1.3-31      2024-08-28 [3] CRAN (R 4.4.3)
 brio                1.1.5       2024-04-24 [1] CRAN (R 4.4.3)
 broom               1.0.8       2025-03-28 [1] CRAN (R 4.4.3)
 bsicons             0.1.2.9000  2025-06-16 [1] Github (rstudio/bsicons@f7dca31)
 bslib               0.9.0.9000  2025-06-16 [1] Github (rstudio/bslib@7cf8050)
 cachem              1.1.0       2025-06-16 [1] Github (r-lib/cachem@4689aac)
 Cairo               1.6-2       2023-11-28 [1] CRAN (R 4.4.0)
 callr               3.7.6       2024-03-25 [1] CRAN (R 4.4.3)
 checkmate           2.3.2       2024-07-29 [1] CRAN (R 4.4.3)
 chromote            0.5.1.9000  2025-06-09 [1] Github (rstudio/chromote@13a789a)
 class               7.3-23      2025-01-01 [3] CRAN (R 4.4.3)
 classInt            0.4-11      2025-01-08 [1] CRAN (R 4.4.3)
 cli                 3.6.5       2025-04-23 [1] CRAN (R 4.4.3)
 clipr               0.8.0       2022-02-22 [1] CRAN (R 4.4.3)
 cluster             2.1.8       2024-12-11 [3] CRAN (R 4.4.3)
 codetools           0.2-20      2024-03-31 [3] CRAN (R 4.4.3)
 commonmark          1.9.5       2025-03-17 [1] CRAN (R 4.4.3)
 coro                1.1.0       2024-11-05 [1] CRAN (R 4.4.3)
 covr                3.6.4       2023-11-09 [1] CRAN (R 4.4.3)
 cpp11               0.5.2       2025-03-03 [1] CRAN (R 4.4.3)
 cranlogs            2.1.1       2019-04-29 [1] CRAN (R 4.4.3)
 crayon              1.5.3       2024-06-20 [1] CRAN (R 4.4.3)
 credentials         2.0.2       2024-10-04 [1] CRAN (R 4.4.3)
 crosstalk           1.2.1.9000  2025-06-16 [1] Github (rstudio/crosstalk@11c4c90)
 curl                6.3.0       2025-06-06 [1] CRAN (R 4.4.3)
 data.table          1.17.4      2025-05-26 [1] CRAN (R 4.4.3)
 DBI                 1.2.3       2024-06-02 [1] CRAN (R 4.4.3)
 dbplyr              2.5.0       2024-03-19 [1] CRAN (R 4.4.3)
 debugme             1.2.0       2024-04-25 [1] CRAN (R 4.4.3)
 dendextend          1.19.0      2024-11-15 [1] CRAN (R 4.4.3)
 desc                1.4.3       2023-12-10 [1] CRAN (R 4.4.3)
 deSolve             1.40        2023-11-27 [1] CRAN (R 4.4.3)
 diffobj             0.3.6       2025-04-21 [1] CRAN (R 4.4.3)
 digest              0.6.37      2024-08-19 [1] CRAN (R 4.4.3)
 dplyr               1.1.4       2023-11-17 [1] CRAN (R 4.4.3)
 DT                  0.33.3      2025-06-16 [1] Github (rstudio/DT@14c33d9)
 dygraphs            1.1.1.7     2025-06-16 [1] Github (rstudio/dygraphs@b096395)
 e1071               1.7-16      2024-09-16 [1] CRAN (R 4.4.3)
